Date,Confirmed,Cured,Deaths
2020-05-15,2484,846,80
2020-05-16,2597,914,83
2020-05-17,2747,1034,87
2020-05-18,2902,1116,92
2020-05-19,3040,1187,96
2020-05-20,3140,1244,97
2020-05-21,3305,1332,101
2020-05-22,3484,1427,105
2020-05-23,3679,1523,109
2020-05-24,3768,1555,110
2020-05-25,3967,1649,115
2020-05-26,4038,1680,116
2020-05-27,4216,1790,120
2020-05-28,4398,1880,126
2020-05-29,4606,1975,131
2020-05-30,4827,2288,138
2020-05-31,5060,2416,143
2020-06-01,5293,2551,150
2020-06-02,5520,2654,156
2020-06-03,5767,2786,162
2020-06-04,6026,2892,169
2020-06-05,6299,3041,176
2020-06-06,6574,3169,184
2020-06-07,6851,3314,192
2020-06-08,7128,3447,198
2020-06-09,7406,3589,207
2020-06-10,7683,3756,215
2020-06-11,7745,3812,219
2020-06-12,8265,4089,236
2020-06-13,8583,4287,247
2020-06-14,8914,4511,255
2020-06-15,9234,4717,264
2020-06-16,9530,5000,275
2020-06-17,9835,5193,331
2020-06-18,10193,5398,340
2020-06-19,10570,5686,349
2020-06-20,10974,5940,360
2020-06-21,11402,6327,368
2020-06-22,11813,6589,381
2020-06-23,12228,6894,389
2020-06-24,12672,7186,402
2020-06-25,13142,7547,414
2020-06-26,13622,7934,425
2020-06-27,14138,8219,436
2020-06-28,14691,8603,447
2020-06-29,15231,8937,458
2020-06-30,15746,9301,469
2020-07-01,16264,9666,483
2020-07-02,16796,9996,495
2020-07-03,17376,10553,506
2020-07-04,18009,10951,518
2020-07-05,18699,11363,535
2020-07-06,19373,11790,547
2020-07-07,19991,12221,560
2020-07-08,20623,12690,573
2020-07-09,21314,13233,587
2020-07-10,22050,13764,600
2020-07-11,22803,14316,615
2020-07-12,23599,14851,630
2020-07-13,24396,15374,644
2020-07-14,25188,15874,659
2020-07-15,26005,16445,675
2020-07-16,26913,17023,692
2020-07-17,27884,17660,711
2020-07-18,28853,18160,730
2020-07-19,30789,19355,766
2020-07-20,31944,20002,786
2020-07-21,33005,20702,802
2020-07-22,34083,21516,821
2020-07-23,35390,22360,853
2020-07-24,36798,23349,874
2020-07-25,38196,24269,896
2020-07-26,39586,25302,916
2020-07-27,41013,26216,936
2020-07-28,42376,27221,955
2020-07-29,43762,28229,977
2020-07-30,45251,29159,999
2020-07-31,46825,30223,1021
2020-08-01,48457,31268,1043
2020-08-02,50021,32732,1068
2020-08-03,51534,33892,1090
2020-08-04,53021,35157,1113
2020-08-05,54522,36635,1137
2020-08-06,56130,37952,1163
2020-08-07,57916,39374,1188
2020-08-08,59675,40772,1215
2020-08-09,61515,42311,1239
2020-08-10,63288,43878,1268
2020-08-11,64819,45243,1293
2020-08-12,66561,46846,1317
2020-08-13,68475,48457,1344
2020-08-14,70320,50044,1373
2020-08-15,72177,51684,1401
2020-08-16,73991,53207,1428
2020-08-17,75648,54853,1455
2020-08-18,77221,56508,1480
2020-08-19,79065,58225,1511
2020-08-20,81055,59905,1539
2020-08-21,83024,61684,1567
2020-08-22,85020,63502,1594
2020-08-23,86998,65159,1620
2020-08-24,88753,66801,1644
2020-08-25,90495,68702,1668
2020-08-26,92414,70507,1699
2020-08-27,94578,72108,1728
2020-08-28,96786,73827,1758
2020-08-29,98971,75686,1787
2020-08-30,101221,77541,1814
2020-08-31,103464,79280,1842
2020-09-01,105462,81139,1865
2020-09-02,107701,82912,1895
2020-09-03,110097,84871,1925
2020-09-04,112478,86776,1956
2020-09-05,114948,88778,1987
2020-09-06,117537,90882,2018
2020-09-07,120132,92869,2047
2020-09-08,122298,94970,2079
2020-09-09,124861,97110,2111
2020-09-10,127596,99194,2145
2020-09-11,130355,101219,2179
2020-09-12,133142,103548,2213
2020-09-13,135839,105788,2245
2020-09-14,138469,108003,2278
2020-09-15,140864,110269,2308
2020-09-16,143439,112639,2345
2020-09-17,146236,115002,2377
2020-09-18,148991,117501,2411
2020-09-19,151658,120241,2446
2020-09-20,154303,122944,2479
2020-09-21,156788,125611,2511
2020-09-22,158933,128510,2541
2020-09-23,161315,131075,2572
2020-09-24,163786,133571,2604
2020-09-25,166245,135890,2637
2020-09-26,168684,138560,2668
2020-09-27,171215,141189,2700
2020-09-28,173563,143329,2730
2020-09-29,175580,145754,2752
2020-09-30,177879,148224,2786
2020-10-01,180360,150663,2819
2020-10-02,182688,152917,2851
2020-10-03,184958,155077,2881
2020-10-04,187125,157428,2908
2020-10-05,189252,159620,2934
2020-10-06,191002,161785,2959
2020-10-07,193061,164134,2987
2020-10-08,195304,166506,3015
2020-10-09,197319,168745,3043
2020-10-10,199412,171109,3069
2020-10-11,201537,173656,3095
2020-10-12,203444,175701,3119
2020-10-13,205025,177923,3139
2020-10-14,206840,180055,3160
2020-10-15,208774,182384,3179
2020-10-16,210585,184394,3205
2020-10-17,212362,186417,3229
2020-10-18,214130,188492,3258
2020-10-19,215722,190389,3275
2020-10-20,217059,192381,3291
2020-10-21,218603,194146,3312
2020-10-22,220198,196415,3332
2020-10-23,221752,198528,3352
2020-10-24,223277,200458,3370
2020-10-25,224709,202232,3387
2020-10-26,225999,203921,3400
2020-10-27,227041,205745,3414
2020-10-28,228295,207415,3429
2020-10-29,229720,209028,3444
2020-10-30,231110,210668,3460
2020-10-31,232489,212367,3475
2020-11-01,233831,214043,3489
2020-11-02,235123,215566,3503
2020-11-03,236218,217232,3517
2020-11-04,237539,218757,3532
2020-11-05,238974,220337,3552
2020-11-06,240335,221885,3571
2020-11-07,241774,223425,3587
2020-11-08,243079,224828,3603
2020-11-09,244390,226211,3617
2020-11-10,245478,227527,3630
2020-11-11,246743,228965,3645
2020-11-12,248112,230471,3661
2020-11-13,249394,231874,3676
2020-11-14,250671,233245,3691
2020-11-15,251845,234449,3704
2020-11-16,252718,235702,3716
2020-11-17,253551,236868,3729
2020-11-18,254654,238146,3743
2020-11-19,255957,239531,3759
2020-11-20,257268,240812,3776
2020-11-21,258588,242232,3792
2020-11-22,259880,243475,3806
2020-11-23,261139,244647,3821
2020-11-24,262224,245856,3835
2020-11-25,263492,246936,3849
2020-11-26,264763,247975,3864
2020-11-27,265994,249100,3878
2020-11-28,267175,250285,3891
2020-11-29,268369,251493,3906
2020-11-30,269477,252789,3918
2020-12-01,270366,253988,3932
2020-12-02,271412,255218,3946
2020-12-03,272428,256382,3961
2020-12-04,273473,257608,3977
2020-12-05,274520,258823,3991
2020-12-06,275549,260023,4005
2020-12-07,276492,261140,4016
2020-12-08,277251,262256,4027
2020-12-09,278167,263302,4039
2020-12-10,279068,264380,4051
2020-12-11,272132,258079,3950
2020-12-12,272966,259009,3962
2020-12-13,273806,259930,3973
2020-12-14,274558,260782,3982
2020-12-15,275170,261740,3992
2020-12-16,275904,262679,4003
2020-12-17,276571,263604,4013
2020-12-18,277207,264467,4022
2020-12-19,277906,265298,4032
2020-12-20,278645,266122,4041
2020-12-21,279393,266836,4050
2020-12-22,279676,267680,4059
2020-12-23,280530,268427,4068
2020-12-24,281216,269255,4077
2020-12-25,281857,269940,4086
2020-12-26,282476,270559,4093
2020-12-27,282996,271154,4101
2020-12-28,283552,271741,4108
2020-12-29,284008,272432,4115
2020-12-30,284579,273171,4123
2020-12-31,285185,273897,4132
2021-01-01,285742,274541,4139
2021-01-02,286272,275177,4145
2021-01-03,286777,275759,4151
2021-01-04,287235,276302,4157
2021-01-05,287690,277110,4162
2021-01-06,288193,277702,4170
2021-01-07,288758,278246,4176
2021-01-08,289262,278817,4182
2021-01-09,289768,279351,4189
2021-01-10,290286,279888,4194
2021-01-11,290739,280359,4199
2021-01-12,291088,280869,4204
2021-01-13,291532,281364,4209
2021-01-14,292003,281855,4215
2021-01-15,292436,282298,4220
2021-01-16,292857,282770,4225
2021-01-17,293277,283247,4230
2021-01-18,293660,283648,4234
2021-01-19,293940,284132,4238
2021-01-20,294324,284604,4242
2021-01-21,294747,285158,4246
2021-01-22,295151,285659,4251
2021-01-23,295547,286134,4255
2021-01-24,295959,286577,4259
2021-01-25,296172,286947,4263
2021-01-26,296579,287388,4266
2021-01-27,296931,287758,4270
2021-01-28,297255,288156,4274
2021-01-29,297779,288732,4278
2021-01-30,298143,289143,4282
2021-01-31,298505,289531,4285
2021-02-01,298795,289861,4289
2021-02-02,299062,290234,4291
2021-02-03,299369,290629,4294
2021-02-04,299727,291124,4297
2021-02-05,300072,291564,4301
2021-02-06,300397,291967,4303
2021-02-07,300732,292294,4305
2021-02-08,301061,292625,4308
2021-02-09,301314,293014,4310
2021-02-10,301621,293378,4313
2021-02-11,301874,293705,4316
2021-02-12,302239,294145,4318
2021-02-13,302576,294462,4321
2021-02-14,302915,294770,4323
2021-02-15,303239,295034,4326
2021-02-16,303492,295362,4328
2021-02-17,303814,295690,4331
2021-02-18,304013,296023,4334
2021-02-19,304539,296326,4336
2021-02-20,304927,296612,4339
2021-02-21,305324,296937,4342
2021-02-22,305718,297206,4344
2021-02-23,306012,297574,4346
2021-02-24,306740,297964,4349
2021-02-25,306859,298292,4353
2021-02-26,307319,298630,4356
2021-02-27,307777,298985,4359
2021-02-28,308243,299310,4363
2021-03-01,308643,299624,4365
2021-03-02,309015,299970,4368
2021-03-03,309128,300335,4371
2021-03-04,309915,300724,4373
2021-03-05,310382,301108,4376
2021-03-06,310891,301504,4379
2021-03-07,311411,301903,4382
2021-03-08,311928,302300,4385
2021-03-09,311969,302761,4387
2021-03-10,312853,303335,4391
2021-03-11,312853,303335,4391
2021-03-12,313488,303837,4394
2021-03-13,314826,304813,4401
2021-03-14,315529,305275,4406
2021-03-15,316259,305760,4409
2021-03-16,316940,306321,4413
2021-03-17,317743,306813,4418
2021-03-18,318739,307306,4423
2021-03-19,319843,307880,4427
2021-03-20,320980,308537,4432
2021-03-21,322198,309175,4438
2021-03-22,323502,309763,4444
2021-03-23,324633,310590,4449
2021-03-24,325946,311254,4457
2021-03-25,327432,311990,4464
2021-03-26,329074,312907,4471
2021-03-27,330803,313751,4479
2021-03-28,332545,314549,4488
2021-03-29,334435,315444,4496
2021-03-30,335996,316473,4503
2021-03-31,337482,317619,4513
2021-04-01,339615,318741,4526
2021-04-02,341754,320140,4539
2021-04-03,344229,321368,4559
2021-04-04,346820,323036,4573
2021-04-05,349696,324504,4586
2021-04-06,352390,325897,4599
2021-04-07,355605,327559,4616
2021-04-08,359127,329205,4635
2021-04-09,362793,330925,4657
2021-04-10,366831,333079,4679
2021-04-11,371078,335596,4702
2021-04-12,375770,337681,4727
2021-04-13,380263,340380,4752
2021-04-14,385384,342668,4780
2021-04-15,390960,345266,4809
2021-04-16,396998,348552,4842
2021-04-17,403517,351978,4879
2021-04-18,410781,355823,4921
2021-04-19,418387,359828,4966
2021-04-20,425586,364127,5015
2021-04-21,433781,368779,5071
2021-04-22,442527,373747,5129
2021-04-23,451769,379116,5192
2021-04-24,461402,385222,5265
2021-04-25,471116,391253,5342
2021-04-26,480921,397344,5420
2021-04-27,489897,404339,5497
2021-04-28,499924,411594,5589
2021-04-29,510459,419080,5690
2021-04-30,521194,427345,5787
2021-05-01,532360,435678,5885
2021-05-02,543263,444230,5987
2021-05-03,553489,452583,6082
2021-05-04,563412,461480,6178
2021-05-05,574032,470881,6283
2021-05-06,585484,480023,6394
2021-05-07,596989,489232,6502
2021-05-08,608130,498082,6619
2021-05-09,619345,508817,6732
2021-05-10,629516,518645,6837
2021-05-11,638681,528536,6944
2021-05-12,648359,538407,7061
2021-05-13,658435,548190,7175
2021-05-14,667967,557767,7287
2021-05-15,677025,567580,7395
2021-05-16,685669,577648,7508
2021-05-17,693485,588169,7622
2021-05-18,700805,599903,7742
2021-05-19,708231,610732,7868
2021-05-20,715901,620984,7976
2021-05-21,723111,630909,8093
2021-05-22,730258,640843,8209
2021-05-23,736948,650707,8313
2021-05-24,743124,659111,8437
2021-05-25,748580,668191,8534
2021-05-26,754383,676412,8650
2021-05-27,760253,684276,8757
2021-05-28,765429,691484,8858
2021-05-29,770257,699389,8959
2021-05-30,774856,707064,9055
2021-05-31,779098,713676,9142
2021-06-01,782640,720767,9219
2021-06-02,786329,727197,9308
2021-06-03,790055,733072,9389
2021-06-04,793732,738824,9464
2021-06-05,797080,744321,9558
2021-06-06,800259,749577,9632
2021-06-07,803055,754422,9700
2021-06-08,805458,759485,9759
2021-06-09,808030,764004,9820
2021-06-10,810642,768208,9991
2021-06-11,813190,771946,10086
2021-06-12,815532,775316,10197
2021-06-13,817777,778985,10288
2021-06-14,819734,782304,10397
2021-06-15,821413,785569,10473
2021-06-16,823142,788558,10544
2021-06-17,825009,791435,10608
2021-06-18,826744,793907,10652
2021-06-19,828432,796622,10698
2021-06-20,830055,799056,10742
2021-06-21,831534,801228,10782
2021-06-22,832718,803501,10814
2021-06-23,834131,805413,10852
2021-06-24,835633,807326,10888
2021-06-25,837068,809119,10925
2021-06-26,838421,810919,10958
2021-06-27,839811,812529,10993
2021-06-28,841093,814156,11020
2021-06-29,842136,815739,11045
2021-06-30,843412,817426,11068
2021-07-01,844768,819137,11096
2021-07-02,846063,820786,11120
2021-07-03,847288,822383,11140
2021-07-04,848484,823836,11167
2021-07-05,849590,825012,11187
2021-07-06,850554,826453,11202
2021-07-07,851768,827765,11228
2021-07-08,853043,828995,11251
2021-07-09,854249,830230,11276
2021-07-10,855437,831487,11310
2021-07-11,856590,832641,11334
2021-07-12,857622,833742,11355
2021-07-13,858536,835103,11411
2021-07-14,859613,836242,11428
2021-07-15,860774,837329,11444
2021-07-16,861856,838441,11459
2021-07-17,862914,839661,11475
2021-07-18,864057,840828,11489
2021-07-19,865117,841902,11503
2021-07-20,865953,843159,11513
2021-07-21,867120,844186,11624
2021-07-22,868270,845259,11639
2021-07-23,869252,846336,11652
2021-07-24,870338,847310,11667
2021-07-25,871442,848420,11682
2021-07-26,872535,849420,11694
2021-07-27,873360,850596,11705
2021-07-28,874572,851754,11723
2021-07-29,875781,852823,11741
2021-07-30,877010,853999,11756
2021-07-31,878166,855035,11772
2021-08-01,879328,856126,11788
2021-08-02,880443,857152,11799
2021-08-03,881292,858232,11811
2021-08-04,882476,859251,11827
2021-08-05,883670,860410,11841
2021-08-06,884910,861551,11854
2021-08-07,885983,862663,11871
2021-08-08,887068,863883,11885
2021-08-09,888054,864985,11897
2021-08-10,888838,866138,11908
2021-08-11,889903,867249,11922
